TSA: Taipei
TPE: Taoyuan
NWT: New Taipei City
KHH: Kaohsiung
PAO: Palo Alto
LAX: Los Angeles
LON: London

# NA
202.39.91.1 KHH-LAX
202.39.91.5 TSA-LAX
202.39.91.9 KHH-PAO
202.39.91.13 KHH-LAX
202.39.91.17 SKC-PAO
202.39.91.21 TSA-LAX
202.39.91.25 NWT-PAO
202.39.91.29 TSA-PAO
202.39.91.33 TSA-PAO
202.39.91.37 TSA-PAO 100G
202.39.91.41 NWT-LAX
202.39.91.45 NWT-PAO
202.39.91.49 TSA-LAX
202.39.91.53 TSA-LAX
202.39.91.57 TSA-PAO
202.39.91.61 KHH-PAO
202.39.91.65 NWT-LAX
202.39.91.69 NWT-LAX
211.72.108.5 TSA-PAO
211.72.108.13 SKC-PAO
211.72.108.17 TSA-LAX
211.72.108.21 TSA-PAO
211.72.108.25 TSA-LAX
211.72.108.29 TPE-PAO
211.72.108.33 TPE-LAX
211.72.108.37 TPE-PAO
211.72.108.41 TPE-LAX
211.72.108.45 TPE-PAO
211.72.108.49 TSA-PAO
211.72.108.53 TSA-LAX
211.72.108.61 TSA-PAO
211.72.108.65 KHH-PAO
211.72.108.69 KHH-LAX
211.72.108.73 KHH-PAO
211.72.108.77 TSA-LAX
211.72.108.81 TSA-PAO
211.72.108.85 KHH-LAX
211.72.108.89 KHH-LAX
211.72.108.93 KHH-LAX
211.72.108.97 TSA-PAO
211.72.108.101 TSA-LAX
211.72.108.109 KHH-PAO
211.72.108.125 KHH-LAX
211.72.108.153 TSA-PAO
211.72.108.157 KHH-LAX
211.72.108.185 TSA-PAO
211.72.108.193 TSA-PAO
211.72.108.205 TSA-PAO
211.72.108.213 TSA-LAX
211.72.108.225 TSA-PAO
211.72.108.233 TPE-PAO
211.72.108.237 TSA-PAO
211.72.108.249 KHH-LAX
211.72.108.253 KHH-PAO


# EU
202.39.91.241 NWT-LON
202.39.91.245 NWT-LON
202.39.91.249 NWT-LON
